Channel,Date,Total Starts,Net New Subs,Total Subs,Average of Churn
PBS Documentaries (US),2023-01-01,52490.61224489795,6142.5,583017.25,0.09000000000000001
PBS Documentaries (US),2023-02-01,48763.51020408163,15565.5,600256.5,0.09000000000000001
PBS Documentaries (US),2023-03-01,46318.44897959183,12300.0,613686.0,0.09000000000000001
PBS Documentaries (US),2023-04-01,41018.367346938765,7267.5,621244.25,0.09000000000000001
PBS Documentaries (US),2023-05-01,35971.755102040814,3233.25,624095.875,0.09000000000000001
PBS Documentaries (US),2023-06-01,31297.63265306122,-3311.25,619312.25,0.09000000000000001
PBS Documentaries (US),2023-07-01,39676.81632653061,6802.5,626328.0,0.09257142857142855
PBS Documentaries (US),2023-08-01,32912.489795918365,-108.0,625281.5,0.09257142857142855
PBS Documentaries (US),2023-09-01,32556.163265306117,-1346.25,622790.375,0.09257142857142855
PBS Documentaries (US),2023-10-01,39687.102040816324,5668.5,628483.125,0.08871428571428572
PBS Documentaries (US),2023-11-01,41343.102040816324,18737.25,649422.75,0.08871428571428572
PBS Documentaries (US),2023-12-01,35613.95918367346,6462.75,656042.125,0.0822857142857143
PBS Documentaries (US),2024-01-01,52448.734693877544,942.0,656220.625,0.09000000000000001
PBS Documentaries (US),2024-02-01,44098.9387755102,-4403.25,650163.0,0.1285714285714286
PBS Documentaries (US),2024-03-01,42577.387755102034,6122.25,656385.125,0.2314285714285714
PBS Documentaries (US),2024-04-01,37902.53061224489,6584.25,663146.25,0.19285714285714284
PBS Documentaries (US),2024-05-01,30908.24489795918,-951.0,661116.25,0.16714285714285712
PBS Documentaries (US),2024-06-01,37715.91836734694,4308.75,665222.625,0.072
PBS Documentaries (US),2024-07-01,27456.653061224486,1577.25,666142.25,0.0822857142857143
PBS Documentaries (US),2024-08-01,23440.81632653061,-8247.75,655599.375,0.0822857142857143
PBS Documentaries (US),2024-09-01,22158.77551020408,-9337.5,643785.125,0.0822857142857143
PBS Documentaries (US),2024-10-01,26875.510204081627,-1392.75,641239.75,0.0822857142857143
PBS Documentaries (US),2024-11-01,44291.42857142857,20979.75,664795.625,0.0822857142857143
PBS Documentaries (US),2024-12-01,42290.122448979586,13695.0,679852.625,0.07971428571428572
PBS Documentaries (US),2025-01-01,52600.081632653055,4007.25,683607.25,0.03985714285714286
PBS Documentaries (US),2025-02-01,43030.69387755101,6381.75,690132.125,0.03985714285714286
